sales_price;area;bedrooms;bathrooms;garage;tax;zip_code;latitude;longitude;subway;botafogo_beach;rio_sul;leme_beach;copacabana_beach;santa_marta
2300000.000000;184.000000;3;5;2;1.000000;22260001;-22.949317;-43.184024;613.629933;1167.327557;1111.541312;2130.560584;2658.014638;995.645337
1349000.000000;135.000000;3;4;1;1.000000;22260009;-22.951909;-43.195145;684.888309;274.732965;1925.084825;2837.707152;2568.906198;387.029476
1499000.000000;160.000000;3;4;2;1.000000;22260009;-22.951909;-43.195145;684.888309;274.732965;1925.084825;2837.707152;2568.906198;387.029476
1230000.000000;8384.000000;2;2;1;0.000000;22281034;-22.952717;-43.193632;520.964467;171.477452;1750.785487;2658.667724;2428.189773;448.579068
2180000.000000;13322.000000;4;3;2;0.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
1299000.000000;135.000000;3;2;1;1245.000000;22260000;-22.949266;-43.184175;605.812031;1156.296422;1125.720188;2144.803653;2662.916557;979.791345
1030900.000000;75.000000;3;2;1;0.000000;22281033;-22.953220;-43.193027;459.529341;155.681335;1676.115900;2577.636002;2354.567959;509.358343
1269000.000000;90.000000;2;2;1;910.000000;22281033;-22.953220;-43.193027;459.529341;155.681335;1676.115900;2577.636002;2354.567959;509.358343
1350000.000000;106.000000;3;1;1;1724.000000;22271110;-22.953612;-43.189630;133.851455;464.260947;1329.665330;2253.643326;2219.991872;689.842217
3200000.000000;182.000000;3;2;3;1800.000000;22290030;-22.952276;-43.182479;625.862460;1210.869181;760.810963;1778.168767;2344.313587;1218.587096
1260000.000000;112.000000;3;2;2;0.000000;22281050;-22.955123;-43.191498;387.717970;287.808160;1479.482112;2342.670568;2104.306391;751.379214
355000.000000;25.000000;1;1;0;500.000000;22251080;-22.947842;-43.184068;728.856731;1248.215494;1246.072469;2262.409665;2821.641532;993.023534
600000.000000;70.000000;2;1;0;620.000000;22250040;-22.948636;-43.182283;800.111013;1360.434751;1074.931688;2084.218490;2748.513849;1171.362830
2300000.000000;133.000000;4;2;2;0.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
2200000.000000;157.000000;4;1;2;1300.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
121000.000000;78.000000;2;2;1;0.000000;22290070;-22.955933;-43.177895;1140.780587;1672.601765;147.358696;1163.879957;2066.021221;1810.090189
1280000.000000;92.000000;3;2;2;1250.000000;22271100;-22.955459;-43.188994;284.392579;543.508373;1220.399308;2096.234341;2005.914799;895.592775
1962100.000000;130.000000;4;2;2;0.000000;22260040;-22.946105;-43.188307;759.791035;1078.428268;1668.980422;2687.299908;3026.459514;624.347013
194000.000000;130.000000;4;4;2;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
170000.000000;113.000000;3;4;1;0.000000;22270000;-22.950729;-43.181721;740.906975;1326.671323;845.629283;1861.403588;2525.304065;1249.742048
210000.000000;122.000000;3;2;2;0.000000;22260100;-22.952250;-43.192176;379.061795;293.754054;1624.641267;2555.087154;2430.170154;426.961411
308000.000000;98.000000;3;1;1;0.000000;22281050;-22.955123;-43.191498;387.717970;287.808160;1479.482112;2342.670568;2104.306391;751.379214
206000.000000;83.000000;2;1;1;0.000000;22281033;-22.953220;-43.193027;459.529341;155.681335;1676.115900;2577.636002;2354.567959;509.358343
380000.000000;156.000000;3;2;2;0.000000;22281033;-22.953220;-43.193027;459.529341;155.681335;1676.115900;2577.636002;2354.567959;509.358343
552000.000000;93.000000;2;3;1;0.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
1370000.000000;93.000000;2;3;1;0.000000;22280004;-22.953799;-43.183343;541.727662;1104.409951;727.410344;1721.544894;2166.128312;1205.464486
345000.000000;25.000000;1;1;0;500.000000;22251080;-22.947842;-43.184068;728.856731;1248.215494;1246.072469;2262.409665;2821.641532;993.023534
370000.000000;94.000000;3;2;1;0.000000;22271110;-22.953612;-43.189630;133.851455;464.260947;1329.665330;2253.643326;2219.991872;689.842217
360000.000000;133.000000;4;2;2;0.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
240000.000000;81.000000;3;2;1;0.000000;22260009;-22.951909;-43.195145;684.888309;274.732965;1925.084825;2837.707152;2568.906198;387.029476
520000.000000;41.000000;2;2;0;625.000000;22290190;-22.951370;-43.176381;1258.036676;1843.265070;642.483162;1527.881668;2595.063639;1800.644916
1691000.000000;130.000000;4;5;2;0.000000;22281080;-22.958378;-43.194540;861.720908;467.416445;1780.270122;2512.353529;1895.332219;1081.186114
1730000.000000;113.000000;3;4;2;0.000000;22270010;-22.953634;-43.190684;231.978403;357.278460;1432.593657;2345.406556;2241.325904;632.230720
